,val_loss,val_output_loss,val_auxilliary_output_1_loss,val_auxilliary_output_2_loss,val_output_accuracy,val_auxilliary_output_1_accuracy,val_auxilliary_output_2_accuracy,loss,output_loss,auxilliary_output_1_loss,auxilliary_output_2_loss,output_accuracy,auxilliary_output_1_accuracy,auxilliary_output_2_accuracy,lr
91,1.4916882083529517,0.913981020450592,0.8771647810935974,0.9815303087234497,0.9258503317832947,0.9240362644195557,0.9276643991470337,3.4371976461952366e-05,1.1318938959448133e-06,9.208900883095339e-05,1.8670836652745493e-05,1.0,0.9999884963035583,1.0,0.006382393185049295
92,1.5044298184972231,0.9258624315261841,0.8833668231964111,0.9904593229293823,0.9247165322303772,0.9226757287979126,0.9265305995941162,3.551554074562608e-05,1.2005893950117752e-06,9.752184269018471e-05,1.6797524949652143e-05,1.0,0.9999884963035583,0.9999884963035583,0.006382393185049295
93,1.5082443660619307,0.9265044331550598,0.8874340653419495,0.9917874932289124,0.9251700639724731,0.9226757287979126,0.9274376630783081,2.7861010593444697e-05,1.2193695511086844e-06,7.695371459703892e-05,1.1802152585005388e-05,1.0,1.0,1.0,0.006382393185049295
94,1.5234311086520587,0.9363396763801575,0.8921269178390503,1.0011966228485107,0.9249433279037476,0.9235827922821045,0.9263038635253906,2.335768455668531e-05,1.106027980313229e-06,6.074811244616285e-05,1.3386711543716956e-05,1.0,1.0,1.0,0.006382393185049295
95,1.5235021259238661,0.9328118562698364,0.8963782787322998,1.0041240453720093,0.9251700639724731,0.9231292605400085,0.9272108674049377,3.549087845748392e-05,1.2280456758162472e-06,9.181180939776823e-05,2.236428190371953e-05,1.0,0.9999884963035583,1.0,0.0061270976439118385
96,1.5463093218078958,0.9464430212974548,0.9159991145133972,1.0191251039505005,0.9249433279037476,0.9235827922821045,0.9263038635253906,2.6353162344028e-05,1.1194848639206612e-06,7.260798156494275e-05,1.146579597843811e-05,1.0,0.9999884963035583,1.0,0.0061270976439118385
97,1.5372963788558025,0.9422534108161926,0.906300961971283,1.013059377670288,0.9244897961616516,0.9215419292449951,0.9265305995941162,2.9588135332408175e-05,1.4161158787828754e-06,8.122110011754557e-05,1.2635672646865714e-05,1.0,0.9999884963035583,1.0,0.0061270976439118385
98,1.5055878128324236,0.9251372218132019,0.8761827349662781,0.9877961277961731,0.9260770678520203,0.9231292605400085,0.9283446669578552,4.978683311098166e-05,1.1446687722127535e-06,0.00013923867663834244,2.2829028239357285e-05,1.0,0.9999769926071167,1.0,0.0061270976439118385
99,1.5085267537305145,0.9263020753860474,0.8804239630699158,0.9897436499595642,0.9260770678520203,0.9235827922821045,0.9278911352157593,2.275265500367083e-05,9.9333226444287e-07,6.366519664879888e-05,8.919688298192341e-06,1.0,1.0,1.0,0.0061270976439118385
100,1.549082893741374,0.9509558081626892,0.9153573513031006,1.0149368047714233,0.9249433279037476,0.9226757287979126,0.9267573952674866,3.623521318490981e-05,9.73640908341622e-07,0.00010720228601712734,1.0272387953591533e-05,1.0,0.9999769926071167,1.0,0.0061270976439118385
101,1.4899860421546192,0.9112390875816345,0.8805574178695679,0.9803816676139832,0.9249433279037476,0.924263060092926,0.9274376630783081,3.158719104629853e-05,3.2401603675680235e-06,7.241008279379457e-05,2.2057563910493627e-05,1.0,0.9999884963035583,0.9999884963035583,0.0061270976439118385
102,1.4713395820453323,0.8999295830726624,0.8656243085861206,0.9656991958618164,0.9247165322303772,0.924263060092926,0.9281179308891296,4.459832155895282e-05,9.439747827855172e-07,0.00012754723138641566,1.792569128156174e-05,1.0,0.9999769926071167,1.0,0.0061270976439118385
103,1.4904748659285287,0.9137875437736511,0.8776240348815918,0.9758012294769287,0.9249433279037476,0.9226757287979126,0.9263038635253906,3.6155222764170034e-05,9.682729569249204e-07,0.00010071332508232445,1.653510298638139e-05,1.0,0.9999769926071167,1.0,0.005882013589143753
104,1.5134765473623124,0.9285792112350464,0.8915439248085022,0.9913228154182434,0.9231292605400085,0.9219954609870911,0.9253968000411987,3.822611787762952e-05,1.0982370213241666e-06,0.00010385755740571767,1.9833540136460215e-05,1.0,0.9999769926071167,0.9999884963035583,0.005882013589143753
105,1.5294272924496743,0.9378114342689514,0.9045698642730713,1.0012844800949097,0.9240362644195557,0.9208616614341736,0.9249433279037476,2.641535388696109e-05,8.92576792921318e-07,7.418893801514059e-05,1.0870159712794703e-05,1.0,0.9999884963035583,1.0,0.005882013589143753
106,1.4893444232118913,0.9122612476348877,0.8898230791091919,0.9793946146965027,0.9233559966087341,0.9217687249183655,0.9251700639724731,4.5947440663774865e-05,1.1875871450683917e-06,0.00013671687338501215,1.2406806490616873e-05,1.0,0.9999769926071167,1.0,0.005882013589143753
107,1.5275941082139135,0.9363177418708801,0.9122968316078186,1.0076864957809448,0.9244897961616516,0.9213151931762695,0.9258503317832947,5.104896018691234e-05,9.252782433577522e-07,0.00013312265218701214,3.403032314963639e-05,1.0,0.9999540448188782,0.9999884963035583,0.005882013589143753
108,1.5225488794633861,0.9358466267585754,0.8968908786773682,1.0043704509735107,0.9240362644195557,0.9219954609870911,0.9251700639724731,2.99261452430383e-05,1.1608847216848517e-06,8.098738180706277e-05,1.5079649529070593e-05,1.0,0.9999884963035583,1.0,0.005882013589143753
109,1.534829967632856,0.9432350993156433,0.9045595526695251,1.0149775743484497,0.9238095283508301,0.9217687249183655,0.9249433279037476,2.5608004996661426e-05,1.3204752349338378e-06,5.8467627241043374e-05,2.2586564227822237e-05,1.0,1.0,0.9999884963035583,0.005882013589143753
110,1.5194912376857939,0.9319474101066589,0.8886192440986633,1.0054261684417725,0.9251700639724731,0.9226757287979126,0.9260770678520203,2.3543482484458648e-05,1.0572287010290893e-06,6.690106238238513e-05,8.058537787292153e-06,1.0,0.9999884963035583,1.0,0.005882013589143753
111,1.530891993851348,0.9403377175331116,0.8953171968460083,1.0129505395889282,0.9244897961616516,0.922448992729187,0.9258503317832947,2.1199225215271255e-05,8.608801636000862e-07,5.6178138038376346e-05,1.1585909305722453e-05,1.0,1.0,1.0,0.005646733101457357
112,1.5358701043118155,0.9439456462860107,0.899871289730072,1.0161854028701782,0.9247165322303772,0.9222221970558167,0.9253968000411987,2.2912681547899535e-05,1.4794132994211395e-06,6.17390323895961e-05,9.735035746416543e-06,1.0,1.0,1.0,0.005646733101457357
